type,image1,image1cat,image1order,image1caption,image2,image2cat,image2order,image2caption,correct
ww,Within2a,w,6,Julien is announced as the new king,Within11b,w,43,Looking for kumquats taken off after Hector's house blows up,1
bb,Boundary19a,b,76,Celebrating King Julien saving the baby from the falling tree,Boundary16a,b,64,Clover needs more evidence to figure out who the hater is,2
ww,Within9a,w,34,King Julien shows up at the lemur interview in a fake moustache,Within10b,w,39,Hector days he's been working on his matchstick tower for a year,1
bw,Boundary18a,b,72,Willie gets a free mango,Within12b,w,47,Maurice says to wait for everyone to forget; Gigi says to try something new,2
ww,Within3b,w,11,King Julien talks about how great the new toilet boat is,Within14b,w,55,Maurice asks King Julien why the lemur has to eat all the kumquats,1
ww,Within19b,w,75,King Julien saves a baby from the falling tree,Within11a,w,42,Maurice takes off kumquats after Julien blows up Hector's house,2
bb,Boundary16b,b,65,King Julien explains his idea to give away free mangoes,Boundary8b,b,33,Maurice interviews a group of lemurs,2
bw,Boundary4b,b,17,Maurice says making it illegal to not like King Julien is a bad idea,Within14a,w,54,Feeling sick from eating kumquats after King Julien kisses the babies,1
bb,Boundary19b,b,77,Maurice adds kumquats because all the lemurs like King Julien now,Boundary17a,b,68,Clover tries to jump out the window to finish her investigation,2
ww,Within16b,w,63,Clover thinks she might know who King Julien's hater is,Within20b,w,79,King Julien tells Clover he doesn't care about the investigation anymore,1
bw,Within5b,w,19,"Maurice tells King Julien to focus on the good things, not the hater",Boundary2a,b,8,King Julien pulls down the curtain in front of the new boat,2
bb,Boundary5a,b,20,Willie yells about sharks from the boat off in the distance,Boundary14a,b,56,King Julien only gets joy anymore from the lemur eating the kumquats,1
ww,Within7a,w,26,King Julien grabs Masikura the lizard to try to hit Gigi with her tongue,Within12a,w,46,"Clover says Hector isn't the hater, but she thinks there's a conspiracy",1
bb,Boundary10b,b,41,King Julien is excited because he thinks he knows Hector is his hater,Boundary14b,b,57,King Julien is alone in his plane at night after the baby kissing event,1
bw,Boundary12b,b,49,King Julien announces he will be kissing all the babies,Within1a,w,2,Maurice gets on stage in front of all the lemurs in the kingdom,2
ww,Within7b,w,27,King Julien almost hits Gigi with Masikura the lizard's tongue,Within5a,w,18,Clover says the one hater could be the start of a revolution,2
ww,Within15b,w,59,King Julien asks the skeleton if there is anyone who doesn't like mangoes,Within13a,w,50,King Julien tells the lemurs he's there to kiss their babies,2
bb,Boundary8a,b,32,Julien and Maurice decide to interview a group of lemurs,Boundary9a,b,36,Clover sets up the boards and papers for her investigation,1
bw,Boundary5b,b,21,King Julien cries that having a hater is the worst thing ever,Within17a,w,66,Everyone finds Clover asleep on her investigation boards,1
bb,Boundary11a,b,44,King Julien learns his ratings are worse after blowing up Hector's house ,Boundary4a,b,16,Clover tells King Julien to make it illegal not to like him,2
ww,Within4a,w,14,Gigi tells King Julien the news for the day,Within16a,w,62,Clover looks at her evidence to try to figure out who the hater is,1
bw,Within8b,w,31,King Julien does eenie meenie minie moe and picks Clover's plan,Boundary13b,b,53,Eating kumquats after King Julien's bad ratings from baby kissing,1
bb,Boundary2b,b,9,King Julien shows all the lemurs the new toilet boat,Boundary6b,b,25,Julien calls Masikura to read Gigi's mind,1
bw,Within17b,w,67,Everyone thinks Clover has figured out who the hater is,Boundary7b,b,29,Clover tells King Julien she thinks there is a conspiracy,2
ww,Within8a,w,30,Maurice and Clover argue about the best way to find the hater,Within6b,w,23,King Julien begs Gigi to tell him who his hater is,2
bw,Within3a,w,10,King Julien hits a soda bottle on the toilet boat,Boundary9b,b,37,King Julien enters Hector's house and sees a tower of matches,1
bw,Within10a,w,38,Hector tells King Julien he's fine and tries to get him to leave,BoundaryEnd,b,80,Clover is mad King Julien doesn't care about her investigation anymore,1
bb,Boundary17b,b,69,King Julien arrives to hand out free mangoes,Boundary15b,b,61,Clover tries to decide which lemur is the hater between a few suspects,2
ww,Within2b,w,7,Maurice says all the people seem to like the new King Julien,Within9b,w,35,King Julien tries to trick the lemurs into telling him about himself ,1
bw,Within18b,w,71,King Julien throws a mango for Mort to catch,Boundary11b,b,45,King Julien is sad his ratings are getting worse instead of better,2
bb,BoundaryStart,b,1,The ship yard before Julien is announced as the new king,Boundary3a,b,12,Willie is pushed off to sea on the toilet boat,1
bw,Boundary1a,b,4,Clover walks into the crowd as Julien is announced king,Within15a,w,58,King Julien says how much everyone liked him when he was little,1
bb,Boundary6a,b,24,King Julien pretends he doesn't care about the hater,Boundary15a,b,60,"King Julien thanks the skelelon for its ""help""",1
ww,Within6a,w,22,Maurice creates the kumquat-o-meter with the fruit on the stick,Within1b,w,3,Maurice gives a speech about the new King Julien,2
bw,Boundary3b,b,13,Julien is carried away after being announced as the new king,Within18a,w,70,Hector gets a free mango,1
ww,Within20a,w,78,King Julien says he learned his lesson now that everyone likes him,Within4b,w,15,King Julien finds out only 99% of the lemurs like him,2
bw,Within19a,w,74,Gigi realizes the tree is about to fall down,Boundary7a,b,28,Clover tells King Julien he's safe but asks for a meeting with him,2
bb,Boundary18b,b,73,King Julien runs out of mangoes to give away,Boundary13a,b,52,The lemurs are mad King Julien kicked Mort away,2
bb,Boundary1b,b,5,Clover takes a message on her pretend earphone,Boundary10a,b,40,King Julien blows up Hector's house,1
bw,Boundary12a,b,48,King Julien makes a plan to kiss all the baby lemurs,Within13b,w,51,King Julien accidentally kisses Mort,1
