type,image1,image1cat,image1order,image1caption,image2,image2cat,image2order,image2caption,correct
bb,Boundary3b,b,13,Julien is carried away after being announced as the new king,Boundary16a,b,64,Clover needs more evidence to figure out who the hater is,1
bb,Boundary7a,b,28,Clover tells King Julien he's safe but asks for a meeting with him,Boundary12a,b,48,King Julien makes a plan to kiss all the baby lemurs,1
ww,Within11b,w,43,Looking for kumquats taken off after Hector's house blows up,Within3a,w,10,King Julien hits a soda bottle on the toilet boat,2
ww,Within15b,w,59,King Julien asks the skeleton if there is anyone who doesn't like mangoes,Within1a,w,2,Maurice gets on stage in front of all the lemurs in the kingdom,2
bb,Boundary10a,b,40,King Julien blows up Hector's house,Boundary6b,b,25,Julien calls Masikura to read Gigi's mind,2
ww,Within6b,w,23,King Julien begs Gigi to tell him who his hater is,Within11a,w,42,Maurice takes off kumquats after Julien blows up Hector's house,1
ww,Within19b,w,75,King Julien saves a baby from the falling tree,Within16a,w,62,Clover looks at her evidence to try to figure out who the hater is,2
bw,Boundary10b,b,41,King Julien is excited because he thinks he knows Hector is his hater,Within1b,w,3,Maurice gives a speech about the new King Julien,2
bw,Within12b,w,47,Maurice says to wait for everyone to forget; Gigi says to try something new,Boundary2a,b,8,King Julien pulls down the curtain in front of the new boat,2
ww,Within17b,w,67,Everyone thinks Clover has figured out who the hater is,Within20b,w,79,King Julien tells Clover he doesn't care about the investigation anymore,1
bb,Boundary12b,b,49,King Julien announces he will be kissing all the babies,Boundary9b,b,37,King Julien enters Hector's house and sees a tower of matches,2
ww,Within9a,w,34,King Julien shows up at the lemur interview in a fake moustache,Within4b,w,15,King Julien finds out only 99% of the lemurs like him,2
bb,Boundary8b,b,33,Maurice interviews a group of lemurs,Boundary4a,b,16,Clover tells King Julien to make it illegal not to like him,2
bw,Boundary4b,b,17,Maurice says making it illegal to not like King Julien is a bad idea,Within8a,w,30,Maurice and Clover argue about the best way to find the hater,1
ww,Within8b,w,31,King Julien does eenie meenie minie moe and picks Clover's plan,Within6a,w,22,Maurice creates the kumquat-o-meter with the fruit on the stick,2
bw,BoundaryEnd,b,80,Clover is mad King Julien doesn't care about her investigation anymore,Within5a,w,18,Clover says the one hater could be the start of a revolution,2
bb,Boundary6a,b,24,King Julien pretends he doesn't care about the hater,Boundary2b,b,9,King Julien shows all the lemurs the new toilet boat,2
bw,Within15a,w,58,King Julien says how much everyone liked him when he was little,Boundary11b,b,45,King Julien is sad his ratings are getting worse instead of better,2
bw,Within18b,w,71,King Julien throws a mango for Mort to catch,BoundaryStart,b,1,The ship yard before Julien is announced as the new king,2
ww,Within10b,w,39,Hector days he's been working on his matchstick tower for a year,Within17a,w,66,Everyone finds Clover asleep on her investigation boards,1
ww,Within2b,w,7,Maurice says all the people seem to like the new King Julien,Within4a,w,14,Gigi tells King Julien the news for the day,1
bb,Boundary11a,b,44,King Julien learns his ratings are worse after blowing up Hector's house ,Boundary8a,b,32,Julien and Maurice decide to interview a group of lemurs,2
bb,Boundary16b,b,65,King Julien explains his idea to give away free mangoes,Boundary18b,b,73,King Julien runs out of mangoes to give away,1
ww,Within13b,w,51,King Julien accidentally kisses Mort,Within9b,w,35,King Julien tries to trick the lemurs into telling him about himself ,2
bw,Boundary5a,b,20,Willie yells about sharks from the boat off in the distance,Within13a,w,50,King Julien tells the lemurs he's there to kiss their babies,1
bb,Boundary3a,b,12,Willie is pushed off to sea on the toilet boat,Boundary1a,b,4,Clover walks into the crowd as Julien is announced king,2
bw,Boundary15b,b,61,Clover tries to decide which lemur is the hater between a few suspects,Within18a,w,70,Hector gets a free mango,1
bb,Boundary9a,b,36,Clover sets up the boards and papers for her investigation,Boundary17b,b,69,King Julien arrives to hand out free mangoes,1
ww,Within7b,w,27,King Julien almost hits Gigi with Masikura the lizard's tongue,Within10a,w,38,Hector tells King Julien he's fine and tries to get him to leave,1
bw,Within14b,w,55,Maurice asks King Julien why the lemur has to eat all the kumquats,Boundary13b,b,53,Eating kumquats after King Julien's bad ratings from baby kissing,2
ww,Within3b,w,11,King Julien talks about how great the new toilet boat is,Within19a,w,74,Gigi realizes the tree is about to fall down,1
bb,Boundary5b,b,21,King Julien cries that having a hater is the worst thing ever,Boundary17a,b,68,Clover tries to jump out the window to finish her investigation,1
bb,Boundary19a,b,76,Celebrating King Julien saving the baby from the falling tree,Boundary18a,b,72,Willie gets a free mango,2
bw,Within14a,w,54,Feeling sick from eating kumquats after King Julien kisses the babies,Boundary14b,b,57,King Julien is alone in his plane at night after the baby kissing event,1
ww,Within7a,w,26,King Julien grabs Masikura the lizard to try to hit Gigi with her tongue,Within20a,w,78,King Julien says he learned his lesson now that everyone likes him,1
bw,Boundary19b,b,77,Maurice adds kumquats because all the lemurs like King Julien now,Within16b,w,63,Clover thinks she might know who King Julien's hater is,2
bw,Within2a,w,6,Julien is announced as the new king,Boundary13a,b,52,The lemurs are mad King Julien kicked Mort away,1
bb,Boundary1b,b,5,Clover takes a message on her pretend earphone,Boundary14a,b,56,King Julien only gets joy anymore from the lemur eating the kumquats,1
bw,Boundary15a,b,60,"King Julien thanks the skelelon for its ""help""",Within12a,w,46,"Clover says Hector isn't the hater, but she thinks there's a conspiracy",2
bw,Within5b,w,19,"Maurice tells King Julien to focus on the good things, not the hater",Boundary7b,b,29,Clover tells King Julien she thinks there is a conspiracy,1
